Sentence,Emotion
slide giáo_trình đầy_đủ .,Trung lập
"nhiệt_tình giảng_dạy , gần_gũi với sinh_viên .",Vui vẻ
đi học đầy_đủ full điểm chuyên_cần .,Trung lập
"chưa áp_dụng công_nghệ thông_tin và các thiết_bị hỗ_trợ cho việc giảng_dạy .",Tức giận
"thầy giảng bài hay , có nhiều bài_tập ví_dụ ngay trên lớp .",Vui vẻ
"giảng_viên đảm_bảo thời_gian lên_lớp , tích_cực trả_lời câu hỏi của sinh_viên , thường_xuyên đặt câu hỏi cho sinh_viên .",Vui vẻ
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học_kỳ kế_tiếp .",Trung lập
"thời_lượng học quá dài , không đảm_bảo tiếp_thu hiệu_quả .",Tức giận
"nội_dung môn_học có phần thiếu trọng_tâm , hầu_như là chung_chung , khái_quát khiến sinh_viên rất khó nắm được nội_dung môn_học .",Buồn bã
cần nói rõ hơn bằng cách trình_bày lên bảng thay_vì nhìn vào slide .,Trung lập
thầy rất tận_tình và đi dạy rất đúng giờ .,Vui vẻ
dễ bị áp_lực .,Sợ hãi
"đang dạy thầy wzjwz208 đi qua nước_ngoài giữa_chừng , thầy wzjwz209 dạy thay .",Trung lập
môn_học còn dễ cần nâng độ khó lên nữa .,Trung lập
"có_thể cho sinh_viên đi thăm quan nhiều công_ty xem quy_mô và cách làm_việc , để giúp hiểu rõ hơn vê ngành mình đang học .",Trung lập
hài_lòng về tất_cả .,Vui vẻ
"nhiệt_tình , vui_vẻ .",Vui vẻ
thấy nhiệt_tình trong việc trao_đổi giúp_đỡ về học_tập .,Vui vẻ
phong_cách giảng bài của thầy rất gần_gũi với sinh_viên !,Vui vẻ
giảng_dạy kết_hợp các hoạt_động giải_trí có hiệu_quả .,Vui vẻ
cần tạo các buổi seminar để sinh_viên có_thể hiểu sâu thêm về các vấn_đề trong chuyên_ngành nhưng không có trong môn_học .,Trung lập
tiết học thoải_mái .,Vui vẻ
"thầy nhiệt_tình , quan_tâm tới sinh_viên .",Vui vẻ
"giảng_dạy nhiệt_tình , hướng_dẫn chi_tiết đến lúc sinh_viên hiểu !",Vui vẻ
"chưa có nhiều tiết làm bài_tập , chữa bài_tập trên lớp .",Tức giận
tài_liệu được bổ_sung nhiều và đầy_đủ trên moodle .,Vui vẻ
"giảng_viên phải nên cho ví_dụ cụ_thể những phần quan_trọng nên nói kỹ có_thể lấy ví_dụ minh_họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm_giác chán cho sinh_viên .",Tức giận
nên biên_soạn một tài_liệu của chính_trường ta .,Trung lập
không giúp_đỡ sinh_viên trong những vấn_đề xung_quanh .,Tức giận
"bài_tập đa_dạng , cụ_thể .",Vui vẻ
"nội_dung giảng_viên yêu_cầu seminar hầu_như không có tài_liệu tham_khảo và rất ít ứng_dụng trong thực_tế , đề_nghị có sự thay_đổi trong những năm_học tới .",Tức giận
slide up đầy_đủ trước mỗi buổi học .,Trung lập
"nội_dung giảng_dạy quá nhàm_chán , khô_khan .",Buồn bã
lượng kiến_thức quá nhiều trong một học_kỳ .,Buồn bã
thầy chép bảng nhiều .,Trung lập
"thầy tận_tình hướng_dẫn cách làm , giải_quyết những thắc_mắc của sinh_viên .",Vui vẻ
"chúc các thầy cô , anh_chị làm_việc vui_vẻ !",Vui vẻ
"hay , nhiệt_tình , dễ hiểu .",Vui vẻ
"mặc_dù nhiệt_tình nhưng khi truyền_đạt thì lại khó hiểu , sử_dụng ngôn_từ gây khó_khăn cho việc hiểu bài .",Tức giận
"thầy dạy khá hay , cung_cấp nhiều thông_tin liên_quan đến môn_học , đưa ra nhiều hướng giải_quyết khi sinh_viên gặp vấn_đề khó_khăn với đồ_án !",Vui vẻ
hy_vọng học_kỳ sau có_thể học được với cô .,Vui vẻ
nhiều khi em lên_lớp_học môn đặc_tả hình_thức giống như lên_lớp_học mà không biết mình học cái gì .,Sợ hãi
trong khi giảng nói_nhỏ quá .,Tức giận
thực_hành khó hiểu .,Buồn bã
"thầy rất tận_tâm nhiệt_tình , quan_tâm đến sinh_viên , giảng bài dễ hiểu , kiến_thức sâu_rộng am_hiểu cao .",Vui vẻ
"cô dạy với nhiệt_huyết của mình , dù như thế_nào , cô vẫn luôn mỉm cười và kiên_trì giảng bài cho chúng em đến khi chúng em hiểu .",Vui vẻ
"cô lên_lớp đúng giờ , giảng bài rất dễ hiểu cho sinh_viên .",Vui vẻ
"những thông_tin cần_thiết như doubledot thời_gian dealine , cách nộp bài thường không dặn lớp thực_hành thứ hai .",Tức giận
"thầy nhiệt_tình , dễ_chịu .",Vui vẻ
"giảng_viên chưa đi_sâu vào bản_chất của vấn_đề , em chỉ học thôi mà không biết bản_chất của nó là gì nó có ứng_dụng gì sau_này cho chuyên nghành của em .",Tức giận
"đặc_biệt hơn là thầy đã bỏ rất nhiều công_sức trong việc ra bài_tập và chấm điểm một_cách rõ_ràng và minh_bạch .",Vui vẻ
"cô rất nhiệt_tình và tận_dụng tốt thời_gian .",Vui vẻ
"giảng_viên tận_tâm , nhiệt_huyết trong giảng_dạy .",Vui vẻ
"thầy nhiệt_tình , gần_gũi .",Vui vẻ
"giảng_viên tận_tâm , giảng dễ hiểu , dễ tiếp_thuc .",Vui vẻ
"tạo ra sự cạnh_tranh trong mỗi buổi thực_hành .",Trung lập
"bài_tập và có code tham_khảo .",Trung lập
"cần nâng_cấp hệ_thống wifi , vì khi vào phòng thực_hành , sinh_viên không_thể truy_cập internet , buộc phải xin phép ra ngoài để làm bài .",Tức giận
"tài_liệu không chi_tiết lắm .",Tức giận
"tận_tâm , nhiệt_tình , vui_tính , dễ gần với sinh_viên .",Vui vẻ
"thầy dạy rất hay và nhiệt_tình .",Vui vẻ
"thầy dạy không đúng giờ , không hướng_dẫn sinh_viên thực_hành .",Tức giận
"giúp_đỡ học_sinh quá ít .",Tức giận
"cô dạy buồn_ngủ quá .",Buồn bã
"nên kinh mong nội_dung môn_học được giảm tải cho phù_hợp hơn với đặc_thù của một trường công_nghệ thông_tin .",Trung lập
"thầy tận_tình vui_tính .",Vui vẻ
"cô lại kiểu khó_tính nữa .",Tức giận
"tạo hứng_thú cho sinh_viên .",Vui vẻ
"cô giảng hay cuốn_hút và truyền_đạt dễ hiểu .",Vui vẻ
"có hứng_thú học .",Vui vẻ
"ôn_tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .",Trung lập
"giảng_viên hướng_dẫn cụ_thể , chi_tiết .",Vui vẻ
"giáo_trình quá ít và nội_dung không khác nhau là mấy .",Tức giận
"giáo_viên nghỉ dạy liên_tục , cuối học_kỳ lại tăng học bù , những tiết học bù đó đã ảnh_hưởng đến những đồ_án , và trễ deadline .",Tức giận
"giáo_viên lúc dạy lúc không , không dạy cũng không thông_báo , sinh_viên tốn thời_gian , công_sức , tiền_bạc rồi ngồi đợi và đi về .",Tức giận
"cần có một phòng máy tốt hơn , hiện_đại hơn .",Trung lập
"thầy nên cho làm bài_tập tương_tự nhau nhiều hơn một_vài bài để tránh tình_trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .",Trung lập
"không ngờ môn này lại chán đến như_vậy , không học được gì từ môn này , thầy dạy chán kinh_khủng , hay đi trễ từ 30 - 45 phút , không nhiệt_tình .",Tức giận
"giảng_viên đánh_giá sai điểm và năng_lực của học_sinh .",Tức giận
"không đáp_ứng được đề_cương môn_học đề ra .",Tức giận
"thầy nên hướng_dẫn thực_hành nhiều hơn .",Trung lập
"giảng_viên thân_thiện , quan_tâm tới sinh_viên .",Vui vẻ
"môn lập_trình hướng đối_tượng nên cập_nhật thêm những nội_dung mới , dễ hiểu và giảng_giải cụ_thể hơn .",Trung lập
"giáo_viên nhiệt_tình , tâm_huyết , khả_năng truyền_đạt tốt .",Vui vẻ
"thầy dạy rất tốt và nhiệt_tình .",Vui vẻ
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",Trung lập
"bài_tập cô đưa ra nhiều , và khó tìm_hiểu , với kiến thực_hiện_tại của sinh_viên thì khó có_thể tìm_hiểu và làm tốt bài_tập cô ra .",Tức giận
"bài_tập và hoạt_động nhóm còn ít .",Trung lập
"giảng_viên rất nhiệt_tình , phương_pháp giảng_dạy hay , sinh_viên nắm_bắt kiến_thức ngay trên lớp .",Vui vẻ
"cô hướng_dẫn thực_hành khá đầy_đủ .",Vui vẻ
"được học nhiều kinh_nghiệm từ thầy wzjwz163 .",Vui vẻ
"kiến_thức của thầy rất tốt , bảo_đảm giờ lên_lớp .",Vui vẻ
"hiện_tại em chưa thấy tác_dụng gì nhiều khi học môn này .",Trung lập
"cải_thiện lại cơ_sở vật_chất máy_chiếu trong phòng học .",Trung lập
"dạy không phù_hợp với cách học của em .",Tức giận
"giải_thích nội_dung mới rõ_ràng .",Vui vẻ
"lớp_học quá đông !",Tức giận
"môn căn_bản mà thầy không dạy cho sinh_viên kỹ , gây không hiểu , mất căn_bản .",Tức giận
"giảng_viên chưa cho bài_tập về nhà để sinh_viên làm_nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp_án .",Tức giận
"mà hiện_tại trường ta chưa có , đây là thiệt_thòi lớn đối_với tụi em .",Buồn bã
"tôi cảm_thấy giảng_viên dạy rất tốt .",Vui vẻ
"không biết thầy nào dạy chính_thức , mà học thường nghỉ không thông_báo trước để sinh_viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",Tức giận
"cần có sự tương_tác giữa giảng_viên và sinh_viên nhiều hơn .",Trung lập
"giảng_viên thân_thiện nhiệt_tình cởi_mở .",Vui vẻ
"giáo_viên có mời các công_ty về trình_bày , giúp sinh_viên cập_nhật kiến_thức thực_tiễn .",Vui vẻ
"coi lại thái_độ giảng_viên thực_hành .",Tức giận
"giảng_viên nhiệt_tình , giải nhiều bài_tập .",Vui vẻ
"bài giảng của thầy rất nhiệt_tình .",Vui vẻ
"môn_học chưa thực_tiễn , chưa thu_hút sinh_viên .",Tức giận
"dạy hơi nhanh !",Trung lập
"ít làm bài_tập .",Trung lập
"giảng bài kém thu_hút , vị_trí đứng giảng không hợp_lý , ôn_tập cuối kỳ còn chưa tập_trung vào vấn_đề .",Tức giận
"giảng_viên nhiệt_tình , bài giảng thu_hút .",Vui vẻ
"nhờ thầy và giảng_viên lý_thuyết , em đã hiểu rõ về môn này rất nhiều !",Vui vẻ
"môn này khá trừu_tượng nên mong thầy có nhiều liên_tưởng tới thực_tiễn hơn để chúng em có_thể hiểu .",Trung lập
"cần thêm nhiều tài_liệu cho sinh_viên .",Trung lập
"bài_tập trên lớp .",Trung lập
"tăng số tiết dạy lên để sinh_viên có nhiều cơ_hội hỏi_đáp thắc_mắc về môn_học .",Trung lập
"thầy nhiệt_tình dễ hiểu .",Vui vẻ
"thực_hành và lý_thuyết nên dạy song_song .",Trung lập
"giảng_viên dạy nhanh .",Trung lập
"bài_tập trên lớp nên được giới_thiệu ngay từ đầu tiết học để học_sinh không tốn thời_gian đọc đề cũng như có_thể suy_nghĩ cách giải cùng lúc với việc nghe giảng .",Trung lập
"giảng_viên cho bài_tập hay .",Vui vẻ
"cập_nhật bài_tập mới .",Trung lập
"lên_lớp ai làm_việc người ấy , thầy không có giảng gì thêm .",Tức giận
"tận_tâm , nhiệt_tình , quan_tâm đến sinh_viên .",Vui vẻ
"phản_hồi giải_đáp thắc_mắc cho sinh_viên .",Vui vẻ
"dạy quá nhanh .",Tức giận
"mong ban thiết_bị sớm khắc_phục ạ !",Trung lập
"môn này cần làm đề_tài để áp_dụng lý_thuyết vào thực_tiễn mà trên lớp chỉ học một đống lý_thuyết và hiếm ai nhớ đa_số khá buồn_ngủ khi lên_lớp .",Tức giận
"giảng_viên nên đổi_mới phương_pháp giảng_dạy , tránh thô cứng , không hấp_dẫn sinh_viên .",Trung lập
"nhiệt_tình , tạo cách chủ_động cho học_sinh tiếp_cận với môn_học và tham_gia các chương_trình phong_trào liên_quan để nâng cao kỹ_năng .",Vui vẻ
"cô dạy rất tận_tình , dễ hiểu .",Vui vẻ
"không đáp_ứng được nhu_cầu của sinh_viên .",Tức giận
"thầy rất nhiệt_tình với chúng em và điều này làm em rất hài_lòng .",Vui vẻ
"cách giảng_dạy của thầy rất hay và có phần dễ hiểu .",Vui vẻ
"nhiệt_tình , dễ_thương .",Vui vẻ
"không hướng_dẫn đồ_án .",Tức giận
"em xin đề_nghị nhà_trường nên bổ_sung tài_liệu về môn_học và cập_nhật nội_dung .",Trung lập
"chép bài rất nhiều , lãng_phí thời_gian nghe giảng .",Tức giận
"em không học thầy wzjwz178 kỳ này , giáo_viên thực_hành có 2 người nên có_lẽ daa nhầm .",Trung lập
"đề thi môn dài sinh_viên làm không đủ thời_gian .",Tức giận
"cho làm nhiều bài test .",Trung lập
"theo em thì nên thi phòng máy nào có visual 2013 trở lên .",Trung lập
"cần thêm nhiều tài_liệu cho môn_học .",Trung lập
"thầy giảng_dạy tốt .",Vui vẻ
"mong thầy có_thể hướng_dẫn cách cụ_thể nhất cho những bài khó .",Trung lập
"thầy cần cho bài_tập và hướng_dẫn nhiều hơn .",Trung lập
"giáo_viên lên_lớp đúng giờ , giảng bài sôi_động .",Vui vẻ
"em thấy thầy chỉ giảng cho có .",Trung lập
"cần xác_định rõ mục_đích môn_học và cho sinh_viên đề_cương chi_tiết môn_học trước khi bắt_đầu .",Trung lập
"thầy nói_chuyện với sinh_viên rất tự_nhiên , chia_sẻ kinh_nghiệm thực_tế .",Vui vẻ
"dạy theo sát chương_trình .",Trung lập
"cung_cấp thêm trang thiết_bị phục_vụ nhu_cầu_môn_học .",Trung lập
"đề_nghị nâng_cấp phòng lab khoa mạng .",Trung lập
"thầy giảng hay và tâm_huyết , bài giảng có tính thực_tiễn cao .",Vui vẻ
"đi dạy đúng giờ .",Trung lập
"thầy cung_cấp nhiều kiến_thức mới , thầy dạy tận_tâm và nhiệt_tình !",Vui vẻ
"có tăng thêm nhiều ví_dụ để minh_họa cho lý_thuyết vì có nhiều phần lý_thuyết rất trừu_tượng .",Trung lập
"các yêu_cầu về đồ_án môn_học nên đươc đưa ra chính_xác trước khi sinh_viên bắt_đầu thực_hiện chia nhóm và làm đồ_án .",Trung lập
"dạy dễ hiểu dễ tiếp_thu , tập_trung vài kiến_thức trọng_tâm .",Vui vẻ
