Sentence,Emotion
cho mình xin bài nhạc tên là gì với ạ,Trung lập
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,Tức giận
lo học đi . yêu đương lol gì hay lại thích học sinh học,Tức giận
uớc gì sau này về già vẫn có thể như cụ này :)),Vui vẻ
mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,Vui vẻ
thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,Tức giận
một lí do trog muôn vàn lí do,Trung lập
"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",Tức giận
per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,Buồn bã
công nhận sáng tạo thật đấy,Vui vẻ
đòn tấn công cực gắt và cục sút của anh 😂😂😂,Tức giận
trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,Trung lập
minh biết nữa ne,Vui vẻ
mấy thằng củ lol việt nam nhảm nhí :)),Tức giận
"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người",Buồn bã
"bếp dầu , nhiều nhà vẫn dùng",Trung lập
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,Trung lập
"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",Sợ hãi
sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,Vui vẻ
"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",Tức giận
coi video chưa hiểu gì đã làm ầm lên,Tức giận
chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,Vui vẻ
yêu chết đi được .,Vui vẻ
mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,Buồn bã
xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,Buồn bã
cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,Tức giận
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,Sợ hãi
t gặp quả này thì bỏ xe mà chạy ??,Sợ hãi
thế con trai là của ai cho,Trung lập
muốn share về mà sợ bị bạn nè phẫn nộ quá,Sợ hãi
"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",Buồn bã
nay buồn :(((,Buồn bã
"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",Sợ hãi
ai có link nhạc mấy bài trên không ạ hay vãi ra,Vui vẻ
đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,Trung lập
phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Trung lập
làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,Buồn bã
khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,Vui vẻ
đéo được tích sự gì 😂,Tức giận
haizzz ... thế là chưa có kq gì tốt đẹp cả ..,Buồn bã
bản thân cố gắng cũng chẳng dễ dàng gì :((,Buồn bã
"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",Tức giận
thế em ăn cơm chưa ?,Trung lập
"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha",Trung lập
chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,Tức giận
mày coi chừng có ngày tao dã dô mặt mày như dzầy,Tức giận
quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,Tức giận
học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,Buồn bã
mình thi xong còn không khóc được 😢,Buồn bã
"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",Vui vẻ
"per trừ điểm , trừ điểm",Buồn bã
"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !",Tức giận
cả tuần không được nói chuyện,Buồn bã
per mày cẩn thận tao giết,Tức giận
cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,Tức giận
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),Trung lập
đẹp trai quá,Vui vẻ
đóng cái lồn tao nè chứ đóng,Tức giận
"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",Buồn bã
"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓",Buồn bã
hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),Vui vẻ
ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,Tức giận
"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕",Tức giận
dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,Vui vẻ
ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,Buồn bã
giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,Buồn bã
per tao được làm fan cứng giống mày rồi 🤣,Vui vẻ
thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,Tức giận
ôi bé xinh gái vãi :)),Vui vẻ
cười sái mẹ quai hàm,Vui vẻ
rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,Buồn bã
tự dưng cay mẹ mắt,Buồn bã
tao sợ thật sự :(((,Sợ hãi
per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,Vui vẻ
tốt quá,Vui vẻ
ông nào viết vui tính thế =)) cưng thật,Vui vẻ
diễn viên già vãi -.-,Tức giận
ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,Vui vẻ
cưng quá đi,Vui vẻ
tao cay mẹ khoé mắt,Buồn bã
thấy mệt thêm chứ chẳng khỏe gì cả .,Tức giận
":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !",Vui vẻ
"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘",Vui vẻ
tao mệt chúng mày quá,Tức giận
hahaha lúc trước ca làm có 4 chị em vui biết bao :)),Vui vẻ
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,Tức giận
các bạn đang bảo con này ah 😂😂😂,Trung lập
má chủ dễ thương vậy tao cũng muốn xin,Vui vẻ
"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",Vui vẻ
"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",Buồn bã
địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,Tức giận
nhìn thương quá ... lao động nghiêm túc,Vui vẻ
đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),Buồn bã
per mấy trụ kia em không tag được,Trung lập
nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,Tức giận
gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,Tức giận
"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",Tức giận
k phải là trời không cho mày yêu . vì m quá ngulon,Tức giận
"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((",Sợ hãi
hết tiền rồi này,Buồn bã
"đẹp , dẽ thương mà",Vui vẻ
tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,Tức giận
phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,Vui vẻ
thế làm sao dỗ bạn gái đang giận :(,Buồn bã
t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),Tức giận
loài này bé như ngón tay phàm ăn lắm sợ luôn,Sợ hãi
"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",Tức giận
